"No. Overall","No. in season","Title","Original air date","Cost of home ($)","Closing cost ($)","Rehab cost ($)","Sale price ($)","Profit/loss ($)","Contractor"
1,1,"The Foreclosure Heebie-Jeebies",2013-04-16T05:00:00.000Z,275000,22000,53000,405000,55000,"Daniel Messina"
2,2,"Vandalized Foreclosure",2013-04-16T05:00:00.000Z,430000,26000,29000,560000,65000,"Daniel Messina"
3,3,"Awkward Floor Plan",2013-04-23T05:00:00.000Z,393000,NaN,37387,510000,79613,"Daniel Messina"
4,4,"Double Trouble Flip",2013-04-23T05:00:00.000Z,280000,NaN,117000,512000,115000,"Daniel Messina"
5,5,"Underwater Flip",2013-04-30T05:00:00.000Z,490000,NaN,33900,675000,NaN,"Israel Battres"
6,6,"Spanish Style Salvage",2013-04-30T05:00:00.000Z,208000,20600,57935,360000,73465,"Daniel Messina"
7,7,"Inland Empire Cosmetic Nightmare",2013-05-07T05:00:00.000Z,180000,12000,53200,290000,44800,"Daniel Messina"
8,8,"The Bungalow Gamble",2013-05-07T05:00:00.000Z,182000,20600,53000,320000,66200,"Daniel Messina"
9,9,"Flop House Flip",2013-05-14T05:00:00.000Z,210000,17500,83000,368500,58000,"Israel Battres"
10,10,"Facelift Flip",2013-05-14T05:00:00.000Z,200000,13000,46000,330000,71000,"Israel Battres"
11,11,"A Flip With A View",2013-05-21T05:00:00.000Z,540000,NaN,72000,672000,60000,"Israel Battres"
12,12,"The Moldy Mess",2013-05-21T05:00:00.000Z,385000,25000,66000,530000,54000,"Israel Battres"
13,13,"Keeping Up With The Joneses",2013-05-28T05:00:00.000Z,386000,NaN,169000,738500,NaN,"Israel Battres"
14,1,"Foreclosure Shock",2014-04-08T05:00:00.000Z,410000,35000,123000,685000,117000,"Israel Battres"
15,2,"Unfinished Flip",2014-04-15T05:00:00.000Z,315000,25000,75000,510000,95000,"Israel Battres"
16,3,"Nothing But Potential",2014-04-22T05:00:00.000Z,406000,30000,174700,700000,89300,"Israel Battres"
17,4,"Too Small to Fail",,275000,22000,42750,420000,62250,"Israel Battres"
18,5,"Dirty, Dated and Undesired",2014-05-06T05:00:00.000Z,330000,20000,60000,500000,90000,"Israel Battres"
19,6,"Flipper vs. Flipper",2014-05-13T05:00:00.000Z,680000,51300,80700,880000,9700,"Israel Battres"
20,7,"A Barnyard Dance",2014-05-20T05:00:00.000Z,565000,NaN,103100,715000,46900,"Israel Battres"
21,8,"Hard Money Blues",,62500025600,40000,168000,940000,81400,"Israel Battres"
22,9,"Loud, Louder, Loudest",2014-06-03T05:00:00.000Z,440000,24000,82100,643000,96900,"Israel Battres"
23,10,"A Neglected Flip",2014-06-10T05:00:00.000Z,325000,14500,NaN,456000,73900,"Israel Battres"
24,11,"Ranch House of Ruin",2014-06-17T05:00:00.000Z,345000,25000,60000,510000,80000,"Israel Battres"
25,12,"Mid-Century Flip",2014-06-24T05:00:00.000Z,520000,30000,124600,725000,39000,"Israel Battres"
26,13,"A Risky Flip",2014-07-01T05:00:00.000Z,350000,17000,73000,499900,59900,"Jeff Lawrence"
27,14,"Hilltop Hangup",2014-07-08T05:00:00.000Z,560000,26800,67000,715000,61200,"Steve Cederquist"
28,1,"Cracked Flip",2014-10-07T05:00:00.000Z,555000,NaN,103400,730000,61600,"Israel Battres"
29,2,"Toxic Flip",2015-04-07T05:00:00.000Z,255000,15000,62900,429900,97000,"Steve Cederquist"
